cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.025511744224391373,1.2634677662149866e-05
1,1,2,total,0.008394185171059729,5.958570818174748e-06
1,1,3,total,6.492457995881327e-06,1.4016929007513675e-07
1,1,4,total,0.0,0.0
1,2,1,total,0.01300574263539254,5.581952590188279e-06
1,2,2,total,0.004270630768770955,2.6311746899918962e-06
1,2,3,total,3.451899428499583e-06,6.563187507783241e-08
1,2,4,total,0.0,0.0
1,3,1,total,0.10592523106303481,9.795291072374333e-05
1,3,2,total,0.034967462374009266,3.875299415061634e-05
1,3,3,total,2.8881542583562183e-05,8.022858251763817e-07
1,3,4,total,0.0,0.0
1,4,1,total,2.697718731785202,0.0018403639054337987
1,4,2,total,0.8897751547599515,0.0007178702207883776
1,4,3,total,0.0007461665375678753,1.5183481443197827e-05
1,4,4,total,0.0,0.0
